| Input filename | # Edges | # Graphs | # OK | # NONEMBEDDABLE |Error flag| Duration | # Invalid OK | EDA Proc Time | EDA Total Time |
|================|=========|==========|======|=================|==========|==========|==============|===============|================|
|n9.m0.g6        |0        |1         |1     |0                |SUCCESS   |0.0       |0             |0.000          |0.018           |
|n9.m1.g6        |1        |1         |1     |0                |SUCCESS   |0.0       |0             |0.000          |0.019           |
|n9.m2.g6        |2        |2         |2     |0                |SUCCESS   |0.0       |0             |0.031          |0.036           |
|n9.m3.g6        |3        |5         |5     |0                |SUCCESS   |0.0       |0             |0.047          |0.090           |
|n9.m4.g6        |4        |11        |11    |0                |SUCCESS   |0.0       |0             |0.047          |0.196           |
|n9.m5.g6        |5        |25        |25    |0                |SUCCESS   |0.0       |0             |0.156          |0.446           |
|n9.m6.g6        |6        |63        |62    |1                |SUCCESS   |0.0       |0             |0.203          |1.213           |
|n9.m7.g6        |7        |148       |145   |3                |SUCCESS   |0.0       |0             |0.719          |2.887           |
|n9.m8.g6        |8        |345       |330   |15               |SUCCESS   |0.0       |0             |1.953          |7.506           |
|n9.m9.g6        |9        |771       |703   |68               |SUCCESS   |0.0       |0             |6.062          |20.905          |
|n9.m10.g6       |10       |1637      |1333  |304              |SUCCESS   |0.015     |0             |16.594         |57.654          |
|n9.m11.g6       |11       |3252      |2026  |1226             |SUCCESS   |0.0       |0             |39.688         |135.331         |
|n9.m12.g6       |12       |5995      |2243  |3752             |SUCCESS   |0.016     |0             |70.031         |231.341         |
|n9.m13.g6       |13       |10120     |1637  |8483             |SUCCESS   |0.047     |0             |81.953         |281.337         |
|n9.m14.g6       |14       |15615     |696   |14919            |SUCCESS   |0.063     |0             |79.250         |281.962         |
|n9.m15.g6       |15       |21933     |136   |21797            |SUCCESS   |0.25      |0             |79.156         |299.984         |
|n9.m16.g6       |16       |27987     |0     |27987            |SUCCESS   |0.125     |0             |93.516         |354.317         |
|n9.m17.g6       |17       |32403     |0     |32403            |SUCCESS   |0.14      |0             |108.391        |408.340         |
|n9.m18.g6       |18       |34040     |0     |34040            |SUCCESS   |0.172     |0             |115.578        |428.094         |
|n9.m19.g6       |19       |32403     |0     |32403            |SUCCESS   |0.141     |0             |111.953        |407.300         |
|n9.m20.g6       |20       |27987     |0     |27987            |SUCCESS   |0.125     |0             |94.422         |357.247         |
|n9.m21.g6       |21       |21933     |0     |21933            |SUCCESS   |0.094     |0             |75.531         |278.112         |
|n9.m22.g6       |22       |15615     |0     |15615            |SUCCESS   |0.078     |0             |52.125         |195.842         |
|n9.m23.g6       |23       |10120     |0     |10120            |SUCCESS   |0.046     |0             |33.922         |126.369         |
|n9.m24.g6       |24       |5995      |0     |5995             |SUCCESS   |0.016     |0             |20.344         |74.988          |
|n9.m25.g6       |25       |3252      |0     |3252             |SUCCESS   |0.016     |0             |10.125         |40.800          |
|n9.m26.g6       |26       |1637      |0     |1637             |SUCCESS   |0.015     |0             |5.609          |20.510          |
|n9.m27.g6       |27       |771       |0     |771              |SUCCESS   |0.0       |0             |2.641          |9.694           |
|n9.m28.g6       |28       |345       |0     |345              |SUCCESS   |0.0       |0             |1.172          |4.409           |
|n9.m29.g6       |29       |148       |0     |148              |SUCCESS   |0.015     |0             |0.469          |1.879           |
|n9.m30.g6       |30       |63        |0     |63               |SUCCESS   |0.0       |0             |0.250          |0.799           |
|n9.m31.g6       |31       |25        |0     |25               |SUCCESS   |0.0       |0             |0.047          |0.321           |
|n9.m32.g6       |32       |11        |0     |11               |SUCCESS   |0.0       |0             |0.016          |0.144           |
|n9.m33.g6       |33       |5         |0     |5                |SUCCESS   |0.0       |0             |0.031          |0.067           |
|n9.m34.g6       |34       |2         |0     |2                |SUCCESS   |0.016     |0             |0.016          |0.026           |
|n9.m35.g6       |35       |1         |0     |1                |SUCCESS   |0.0       |0             |0.000          |0.014           |
|n9.m36.g6       |36       |1         |0     |1                |SUCCESS   |0.0       |0             |0.000          |0.013           |
|================|=========|==========|======|=================|==========|==========|==============|===============|================|
|TOTALS                    |274668    |9356  |265312           |37        |1.39      |0             |1102.047       |4030.209        |
