| Input filename | # Edges | # Graphs | # OK | # NONEMBEDDABLE |Error flag| Duration | # Invalid OK | EDA Proc Time | EDA Total Time |
|================|=========|==========|======|=================|==========|==========|==============|===============|================|
|n9.m0.g6        |0        |1         |1     |0                |SUCCESS   |0.0       |0             |0.031          |0.027           |
|n9.m1.g6        |1        |1         |1     |0                |SUCCESS   |0.0       |0             |0.016          |0.021           |
|n9.m2.g6        |2        |2         |2     |0                |SUCCESS   |0.0       |0             |0.031          |0.041           |
|n9.m3.g6        |3        |5         |5     |0                |SUCCESS   |0.0       |0             |0.031          |0.101           |
|n9.m4.g6        |4        |11        |11    |0                |SUCCESS   |0.0       |0             |0.062          |0.216           |
|n9.m5.g6        |5        |25        |25    |0                |SUCCESS   |0.0       |0             |0.125          |0.494           |
|n9.m6.g6        |6        |63        |62    |1                |SUCCESS   |0.0       |0             |0.328          |1.222           |
|n9.m7.g6        |7        |148       |142   |6                |SUCCESS   |0.0       |0             |0.641          |2.991           |
|n9.m8.g6        |8        |345       |313   |32               |SUCCESS   |0.0       |0             |1.859          |6.844           |
|n9.m9.g6        |9        |771       |624   |147              |SUCCESS   |0.0       |0             |4.641          |14.866          |
|n9.m10.g6       |10       |1637      |1039  |598              |SUCCESS   |0.0       |0             |9.047          |31.701          |
|n9.m11.g6       |11       |3252      |1326  |1926             |SUCCESS   |0.016     |0             |16.547         |60.376          |
|n9.m12.g6       |12       |5995      |1190  |4805             |SUCCESS   |0.125     |0             |27.312         |98.291          |
|n9.m13.g6       |13       |10120     |698   |9422             |SUCCESS   |0.032     |0             |40.984         |148.088         |
|n9.m14.g6       |14       |15615     |242   |15373            |SUCCESS   |0.032     |0             |55.594         |204.946         |
|n9.m15.g6       |15       |21933     |39    |21894            |SUCCESS   |0.094     |0             |72.844         |275.623         |
|n9.m16.g6       |16       |27987     |0     |27987            |SUCCESS   |0.11      |0             |93.359         |349.813         |
|n9.m17.g6       |17       |32403     |0     |32403            |SUCCESS   |0.172     |0             |110.359        |405.828         |
|n9.m18.g6       |18       |34040     |0     |34040            |SUCCESS   |0.125     |0             |115.688        |427.330         |
|n9.m19.g6       |19       |32403     |0     |32403            |SUCCESS   |0.125     |0             |107.531        |403.245         |
|n9.m20.g6       |20       |27987     |0     |27987            |SUCCESS   |0.109     |0             |95.531         |352.095         |
|n9.m21.g6       |21       |21933     |0     |21933            |SUCCESS   |0.093     |0             |75.734         |286.352         |
|n9.m22.g6       |22       |15615     |0     |15615            |SUCCESS   |0.109     |0             |53.109         |197.246         |
|n9.m23.g6       |23       |10120     |0     |10120            |SUCCESS   |0.031     |0             |34.078         |151.998         |
|n9.m24.g6       |24       |5995      |0     |5995             |SUCCESS   |0.031     |0             |20.094         |75.166          |
|n9.m25.g6       |25       |3252      |0     |3252             |SUCCESS   |0.0       |0             |10.438         |40.512          |
|n9.m26.g6       |26       |1637      |0     |1637             |SUCCESS   |0.0       |0             |5.578          |20.693          |
|n9.m27.g6       |27       |771       |0     |771              |SUCCESS   |0.0       |0             |2.422          |9.702           |
|n9.m28.g6       |28       |345       |0     |345              |SUCCESS   |0.0       |0             |1.094          |4.269           |
|n9.m29.g6       |29       |148       |0     |148              |SUCCESS   |0.0       |0             |0.422          |1.968           |
|n9.m30.g6       |30       |63        |0     |63               |SUCCESS   |0.0       |0             |0.297          |0.808           |
|n9.m31.g6       |31       |25        |0     |25               |SUCCESS   |0.0       |0             |0.062          |0.313           |
|n9.m32.g6       |32       |11        |0     |11               |SUCCESS   |0.015     |0             |0.047          |0.139           |
|n9.m33.g6       |33       |5         |0     |5                |SUCCESS   |0.0       |0             |0.000          |0.067           |
|n9.m34.g6       |34       |2         |0     |2                |SUCCESS   |0.0       |0             |0.000          |0.026           |
|n9.m35.g6       |35       |1         |0     |1                |SUCCESS   |0.0       |0             |0.000          |0.014           |
|n9.m36.g6       |36       |1         |0     |1                |SUCCESS   |0.0       |0             |0.000          |0.014           |
|================|=========|==========|======|=================|==========|==========|==============|===============|================|
|TOTALS                    |274668    |5720  |268948           |37        |1.219     |0             |955.938        |3573.447        |
