| Input filename | # Edges | # Graphs | # OK | # NONEMBEDDABLE |Error flag| Duration | # Invalid OK | EDA Proc Time | EDA Total Time |
|================|=========|==========|======|=================|==========|==========|==============|===============|================|
|n8.m0.g6        |0        |1         |1     |0                |SUCCESS   |0.0       |0             |0.000          |0.020           |
|n8.m1.g6        |1        |1         |1     |0                |SUCCESS   |0.0       |0             |0.016          |0.020           |
|n8.m2.g6        |2        |2         |2     |0                |SUCCESS   |0.0       |0             |0.000          |0.040           |
|n8.m3.g6        |3        |5         |5     |0                |SUCCESS   |0.0       |0             |0.047          |0.103           |
|n8.m4.g6        |4        |11        |11    |0                |SUCCESS   |0.0       |0             |0.047          |0.228           |
|n8.m5.g6        |5        |24        |24    |0                |SUCCESS   |0.0       |0             |0.109          |0.493           |
|n8.m6.g6        |6        |56        |55    |1                |SUCCESS   |0.0       |0             |0.234          |1.194           |
|n8.m7.g6        |7        |115       |112   |3                |SUCCESS   |0.0       |0             |0.609          |2.667           |
|n8.m8.g6        |8        |221       |206   |15               |SUCCESS   |0.0       |0             |1.297          |5.948           |
|n8.m9.g6        |9        |402       |337   |65               |SUCCESS   |0.0       |0             |3.953          |14.052          |
|n8.m10.g6       |10       |663       |411   |252              |SUCCESS   |0.016     |0             |7.250          |27.221          |
|n8.m11.g6       |11       |980       |345   |635              |SUCCESS   |0.0       |0             |10.484         |35.927          |
|n8.m12.g6       |12       |1312      |166   |1146             |SUCCESS   |0.015     |0             |9.156          |32.939          |
|n8.m13.g6       |13       |1557      |39    |1518             |SUCCESS   |0.0       |0             |6.688          |26.015          |
|n8.m14.g6       |14       |1646      |0     |1646             |SUCCESS   |0.0       |0             |5.578          |23.025          |
|n8.m15.g6       |15       |1557      |0     |1557             |SUCCESS   |0.0       |0             |5.375          |21.793          |
|n8.m16.g6       |16       |1312      |0     |1312             |SUCCESS   |0.0       |0             |4.312          |18.348          |
|n8.m17.g6       |17       |980       |0     |980              |SUCCESS   |0.0       |0             |3.469          |13.709          |
|n8.m18.g6       |18       |663       |0     |663              |SUCCESS   |0.016     |0             |2.312          |9.270           |
|n8.m19.g6       |19       |402       |0     |402              |SUCCESS   |0.0       |0             |1.234          |5.652           |
|n8.m20.g6       |20       |221       |0     |221              |SUCCESS   |0.015     |0             |0.703          |3.080           |
|n8.m21.g6       |21       |115       |0     |115              |SUCCESS   |0.0       |0             |0.359          |1.603           |
|n8.m22.g6       |22       |56        |0     |56               |SUCCESS   |0.0       |0             |0.156          |0.781           |
|n8.m23.g6       |23       |24        |0     |24               |SUCCESS   |0.0       |0             |0.078          |0.333           |
|n8.m24.g6       |24       |11        |0     |11               |SUCCESS   |0.0       |0             |0.047          |0.151           |
|n8.m25.g6       |25       |5         |0     |5                |SUCCESS   |0.0       |0             |0.016          |0.066           |
|n8.m26.g6       |26       |2         |0     |2                |SUCCESS   |0.0       |0             |0.000          |0.027           |
|n8.m27.g6       |27       |1         |0     |1                |SUCCESS   |0.0       |0             |0.000          |0.013           |
|n8.m28.g6       |28       |1         |0     |1                |SUCCESS   |0.0       |0             |0.000          |0.013           |
|================|=========|==========|======|=================|==========|==========|==============|===============|================|
|TOTALS                    |12346     |1715  |10631            |29        |0.062     |0             |63.531         |244.733         |
