| Input filename | # Edges | # Graphs | # OK | # NONEMBEDDABLE |Error flag| Duration | # Invalid OK | EDA Proc Time | EDA Total Time |
|================|=========|==========|======|=================|==========|==========|==============|===============|================|
|n8.m0.g6        |0        |1         |1     |0                |SUCCESS   |0.0       |0             |0.016          |0.020           |
|n8.m1.g6        |1        |1         |1     |0                |SUCCESS   |0.0       |0             |0.000          |0.019           |
|n8.m2.g6        |2        |2         |2     |0                |SUCCESS   |0.0       |0             |0.000          |0.039           |
|n8.m3.g6        |3        |5         |5     |0                |SUCCESS   |0.0       |0             |0.031          |0.094           |
|n8.m4.g6        |4        |11        |11    |0                |SUCCESS   |0.0       |0             |0.016          |0.207           |
|n8.m5.g6        |5        |24        |24    |0                |SUCCESS   |0.0       |0             |0.094          |0.446           |
|n8.m6.g6        |6        |56        |55    |1                |SUCCESS   |0.0       |0             |0.297          |1.080           |
|n8.m7.g6        |7        |115       |109   |6                |SUCCESS   |0.0       |0             |0.656          |2.325           |
|n8.m8.g6        |8        |221       |190   |31               |SUCCESS   |0.0       |0             |1.438          |4.536           |
|n8.m9.g6        |9        |402       |274   |128              |SUCCESS   |0.0       |0             |1.984          |31.633          |
|n8.m10.g6       |10       |663       |285   |378              |SUCCESS   |0.0       |0             |3.938          |13.422          |
|n8.m11.g6       |11       |980       |197   |783              |SUCCESS   |0.0       |0             |4.531          |16.640          |
|n8.m12.g6       |12       |1312      |79    |1233             |SUCCESS   |0.0       |0             |5.562          |20.562          |
|n8.m13.g6       |13       |1557      |18    |1539             |SUCCESS   |0.016     |0             |5.766          |22.289          |
|n8.m14.g6       |14       |1646      |0     |1646             |SUCCESS   |0.015     |0             |6.094          |22.081          |
|n8.m15.g6       |15       |1557      |0     |1557             |SUCCESS   |0.0       |0             |5.469          |20.910          |
|n8.m16.g6       |16       |1312      |0     |1312             |SUCCESS   |0.0       |0             |4.672          |18.096          |
|n8.m17.g6       |17       |980       |0     |980              |SUCCESS   |0.016     |0             |3.547          |13.880          |
|n8.m18.g6       |18       |663       |0     |663              |SUCCESS   |0.0       |0             |2.453          |12.722          |
|n8.m19.g6       |19       |402       |0     |402              |SUCCESS   |0.0       |0             |1.406          |5.643           |
|n8.m20.g6       |20       |221       |0     |221              |SUCCESS   |0.0       |0             |0.797          |3.129           |
|n8.m21.g6       |21       |115       |0     |115              |SUCCESS   |0.0       |0             |0.453          |1.607           |
|n8.m22.g6       |22       |56        |0     |56               |SUCCESS   |0.0       |0             |0.234          |0.784           |
|n8.m23.g6       |23       |24        |0     |24               |SUCCESS   |0.0       |0             |0.094          |0.338           |
|n8.m24.g6       |24       |11        |0     |11               |SUCCESS   |0.0       |0             |0.047          |0.153           |
|n8.m25.g6       |25       |5         |0     |5                |SUCCESS   |0.0       |0             |0.016          |0.067           |
|n8.m26.g6       |26       |2         |0     |2                |SUCCESS   |0.0       |0             |0.000          |0.028           |
|n8.m27.g6       |27       |1         |0     |1                |SUCCESS   |0.0       |0             |0.000          |0.014           |
|n8.m28.g6       |28       |1         |0     |1                |SUCCESS   |0.0       |0             |0.000          |0.014           |
|================|=========|==========|======|=================|==========|==========|==============|===============|================|
|TOTALS                    |12346     |1251  |11095            |29        |0.047     |0             |49.609         |212.776         |
